Section,Status,Timestamp,Details
1.1.1.1,FIXED,2026-01-19 22:58:04,Would apply hardening (DRY-RUN)
1.1.1.2,FIXED,2026-01-19 22:58:05,Would apply hardening (DRY-RUN)
1.1.1.3,FIXED,2026-01-19 22:58:05,Would apply hardening (DRY-RUN)
1.1.1.4,FIXED,2026-01-19 22:58:05,Would apply hardening (DRY-RUN)
1.1.1.5,FIXED,2026-01-19 22:58:05,Would apply hardening (DRY-RUN)
1.1.1.6,FIXED,2026-01-19 22:58:05,Would apply hardening (DRY-RUN)
1.1.1.7,SKIPPED,2026-01-19 22:58:05,Already compliant
1.1.1.8,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.1.9,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.1.10,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.1.1,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.1.2,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.1.3,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.1.4,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.2.1,SKIPPED,2026-01-19 22:58:06,Already compliant
1.1.2.2.2,SKIPPED,2026-01-19 22:58:06,Already compliant
1.1.2.2.3,SKIPPED,2026-01-19 22:58:06,Already compliant
1.1.2.2.4,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.3.1,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.3.2,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.3.3,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.4.1,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.4.2,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.4.3,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.5.1,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.5.2,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.5.3,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.5.4,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.6.1,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.6.2,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.6.3,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.6.4,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.7.1,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.7.2,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.7.3,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.1.2.7.4,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.2.1.1,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.2.1.2,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.2.2.1,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.3.1.1,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.3.1.2,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.3.1.3,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.3.1.4,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.4.1,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.4.2,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.5.1,SKIPPED,2026-01-19 22:58:06,Already compliant
1.5.2,SKIPPED,2026-01-19 22:58:06,Already compliant
1.5.3,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.5.4,SKIPPED,2026-01-19 22:58:06,Already compliant
1.5.5,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.6.1,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.6.2,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.6.3,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.6.4,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.6.5,SKIPPED,2026-01-19 22:58:06,Already compliant
1.6.6,SKIPPED,2026-01-19 22:58:06,Already compliant
1.7.1,SKIPPED,2026-01-19 22:58:06,Already compliant
1.7.2,SKIPPED,2026-01-19 22:58:06,Already compliant
1.7.3,SKIPPED,2026-01-19 22:58:06,Already compliant
1.7.4,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.7.5,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.7.6,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.7.7,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.7.8,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.7.9,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
1.7.10,FIXED,2026-01-19 22:58:06,Would apply hardening (DRY-RUN)
